Season,Var.1,Var.2,Var.3,Var.4,Var.5,Var.6,Var.7,Var.8,Var.9,Var.10,Var.11,Var.12,Var.13,Var.14,Var.15,Var.16,Var.17,Var.18,Offense.Four.Factors,Offense.Four.Factors.1,Offense.Four.Factors.2,Offense.Four.Factors.3,Var.23,Defense.Four.Factors,Defense.Four.Factors.1,Defense.Four.Factors.2,Defense.Four.Factors.3,Var.28,Var.29,Var.30,Var.31
4,17,Charlotte Hornets,27.6,41,41,40,42,-0.22,-0.01,-0.23,108.4,108.6,-0.2,97.5,.301,.129,.543,NA,.500,13.6,29.2,.230,NA,.492,13.2,67.0,.205,NA,Charlotte Coliseum,"971,609","23,698"
4,18,Boston Celtics,27.8,32,50,29,53,-4.28,0.01,-4.28,104.2,108.7,-4.5,95.6,.284,.068,.521,NA,.482,13.5,29.3,.207,NA,.494,13.7,67.8,.238,NA,Boston Garden,"604,867","14,890"
4,19,Los Angeles Lakers,26.5,33,49,29,53,-4.29,0.36,-3.93,104.8,109.3,-4.5,95.5,.269,.110,.503,NA,.466,12.8,33.2,.193,NA,.492,14.3,63.2,.240,NA,Great Western Forum,"545,915","13,315"
4,20,Los Angeles Clippers,27.0,27,55,26,56,-5.72,0.44,-5.28,102.9,108.6,-5.7,99.6,.297,.116,.521,NA,.484,15.4,30.4,.211,NA,.494,14.0,64.1,.213,NA,Los Angeles Memorial Sports Arena,"471,034","11,390"
4,21,Sacramento Kings,26.7,28,54,26,56,-5.77,0.44,-5.32,103.3,109.2,-5.9,97.5,.326,.104,.516,NA,.471,14.2,30.4,.239,NA,.499,14.2,66.4,.252,NA,ARCO Arena (II),"710,497","17,329"
4,22,Milwaukee Bucks,26.1,20,62,24,58,-6.48,0.24,-6.24,102.5,109.3,-6.8,94.5,.320,.150,.512,NA,.471,14.7,31.1,.225,NA,.513,15.7,66.5,.254,NA,Bradley Center,"634,047","15,482"
4,23,Minnesota Timberwolves,26.2,20,62,23,59,-6.93,0.38,-6.55,101.9,109.2,-7.3,94.7,.352,.085,.525,NA,.471,16.4,30.1,.272,NA,.488,12.8,68.0,.259,NA,Target Center,"733,419","17,888"
4,24,Washington Bullets,25.8,24,58,22,60,-7.38,0.25,-7.13,104.5,112.2,-7.7,95.9,.317,.109,.529,NA,.484,15.3,31.2,.237,NA,.526,14.0,66.2,.206,NA,USAir Arena,"619,756","15,371"
4,25,Philadelphia 76ers,27.2,25,57,21,61,-7.62,0.25,-7.37,101.7,109.7,-8.0,95.7,.310,.138,.518,NA,.478,15.0,28.0,.221,NA,.502,12.8,66.6,.177,NA,The Spectrum,"491,769","12,425"
4,26,Detroit Pistons,27.5,20,62,21,61,-7.78,0.33,-7.46,102.7,110.9,-8.2,94.2,.244,.148,.511,NA,.477,13.7,28.4,.179,NA,.493,12.8,66.1,.262,NA,The Palace of Auburn Hills,"806,641","19,674"
4,27,Dallas Mavericks,25.3,13,69,19,63,-8.70,0.50,-8.19,100.4,109.6,-9.2,94.5,.275,.109,.492,NA,.449,15.0,33.7,.205,NA,.513,15.8,66.1,.283,NA,Reunion Arena,"526,414","12,839"
